#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1051
#Date Time: 2022-12-04 15:44:12.413
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X

Time (s),Channel 1 (V),Channel 2 (V)
0.0038,0.278587937350369,-0.546734435981903
0.00380125,0.2779107382275345,-0.5406885374755812
0.0038025,0.2755405412976142,-0.5346426389692593
0.00380375,0.2765563399818657,-0.5299402734643425
0.003805,0.2714773465606078,-0.5249020247090743
0.00380625,0.2660597535779325,-0.5188561262027526
0.0038075,0.2691071496306874,-0.5141537606978356
0.00380875,0.2748633421747798,-0.5081078621915138
0.00381,0.2701229483149389,-0.5034054966865968
0.00381125,0.2775721386661174,-0.4976954814306263
0.0038125,0.2738475434905281,-0.4916495829243045
0.00381375,0.2782493377889518,-0.4869472174193876
0.003815,0.276894939543283,-0.481237202163417
0.00381625,0.2762177404204486,-0.4755271869074464
0.0038175,0.2789265369117861,-0.4704889381521782
0.00381875,0.2741861430519454,-0.4624277401437492
0.00382,0.2704615478763562,-0.4587330243898859
0.00382125,0.2724931452448593,-0.4516794761325105
0.0038225,0.2762177404204486,-0.447648877128296
0.00382375,0.2752019417361969,-0.4399235623702182
0.003825,0.276894939543283,-0.4362288466163549
0.00382625,0.2745247426133626,-0.4295111816093307
0.0038275,0.2765563399818657,-0.4227935166023065
0.00382875,0.2755405412976142,-0.4180911510973895
0.00383,0.2772335391047002,-0.4120452525910677
0.00383125,0.2765563399818657,-0.4056634708343947
0.0038325,0.2728317448062766,-0.399617572328073
0.00383375,0.2697843487535218,-0.3935716738217512
0.003835,0.2711387469991905,-0.3871898920650782
0.00383625,0.2714773465606078,-0.3808081103084052
0.0038375,0.2711387469991905,-0.3761057448034883
0.00383875,0.273508943929111,-0.3697239630468153
0.00384,0.273508943929111,-0.3626704147894399
0.00384125,0.2796037360346206,-0.3569603995334693
0.0038425,0.2752019417361969,-0.3509145010271476
0.00384375,0.2772335391047002,-0.345204485771177
0.003845,0.271815946122025,-0.3384868207641528
0.00384625,0.2697843487535218,-0.332440922257831
0.0038475,0.2714773465606078,-0.3257232572508068
0.00384875,0.2779107382275345,-0.3190055922437826
0.00385,0.2741861430519454,-0.3139673434885145
0.00385125,0.2708001474377734,-0.3072496784814903
0.0038525,0.2752019417361969,-0.3015396632255197
0.00385375,0.2765563399818657,-0.2944861149681443
0.003855,0.276894939543283,-0.2877684499611201
0.00385625,0.2819739329645409,-0.2817225514547983
0.0038575,0.276894939543283,-0.2760125361988278
0.00385875,0.2752019417361969,-0.2689589879414523
0.00386,0.2677527513850186,-0.2615695564337257
0.00386125,0.271815946122025,-0.2561954244281064
0.0038625,0.2752019417361969,-0.2484701096700286
0.00386375,0.2775721386661174,-0.244439510665814
0.003865,0.2782493377889518,-0.2350347796559802
0.00386625,0.278587937350369,-0.2303324141510632
0.0038675,0.276894939543283,-0.2239506323943902
0.00386875,0.2762177404204486,-0.2165612008866636
0.00387,0.2826511320873754,-0.2111870688810443
0.00387125,0.2752019417361969,-0.202789987622264
0.0038725,0.273508943929111,-0.1980876221173471
0.00387375,0.2724931452448593,-0.1900264241089181
0.003875,0.2758791408590314,-0.1839805256025963
0.00387625,0.2721545456834422,-0.1775987438459233
0.0038775,0.273508943929111,-0.1702093123381966
0.00387875,0.2701229483149389,-0.1651710635829285
0.00388,0.2731703443676938,-0.1554304493227434
0.00388125,0.2731703443676938,-0.1517357335688801
0.0038825,0.2772335391047002,-0.1436745355604511
0.00388375,0.2731703443676938,-0.1372927538037781
0.003885,0.2758791408590314,-0.1302392055464027
0.00388625,0.2680913509464358,-0.1238574237897297
0.0038875,0.2724931452448593,-0.1168038755323543
0.00388875,0.2741861430519454,-0.1097503272749789
0.00389,0.2775721386661174,-0.1043761952693595
0.00389125,0.2755405412976142,-0.09866618001338896
0.0038925,0.2758791408590314,-0.08926144900355509
0.00389375,0.2758791408590314,-0.08355143374758452
0.003895,0.2789265369117861,-0.07750553524126275
0.00389625,0.2745247426133626,-0.0691084539824825
0.0038975,0.268429950507853,-0.06440608847756556
0.00389875,0.2708001474377734,-0.0556731239684341
0.0039,0.2708001474377734,-0.04962722546211232
0.00390125,0.2765563399818657,-0.04223779395438571
0.0039025,0.278587937350369,-0.03585601219771272
0.00390375,0.2782493377889518,-0.03014599694174216
0.003905,0.2745247426133626,-0.02275656543401554
0.00390625,0.2741861430519454,-0.01503125067593771
0.0039075,0.2823125325259582,-0.008649468919264726
0.00390875,0.2762177404204486,-0.002267687162591739
0.00391,0.2758791408590314,0.004114094594081249
0.00391125,0.2724931452448593,0.01217529260251029
0.0039125,0.2748633421747798,0.01754942460812964
0.00391375,0.268429950507853,0.02527473936620747
0.003915,0.2758791408590314,0.03064887137182683
0.00391625,0.2765563399818657,0.03938183588095828
0.0039175,0.2745247426133626,0.04509185113692885
